Date,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
Mar-2020,8112001,6616636,5154305,1787847,2706350,555975,246969,443035,25627924
Jun-2020,8110610,6615046,5165613,1790355,2712912,557578,247428,444903,25649248
Sep-2020,8098905,6591437,5173071,1792178,2720001,559427,247755,445749,25633341
Dec-2020,8094300,6567195,5184329,1794514,2728187,561881,247819,447650,25630698
Mar-2021,8093015,6555302,5199548,1798586,2739105,564840,248185,449573,25653005
Jun-2021,8097062,6547822,5215814,1802601,2749365,567239,248151,452508,25685412
Sep-2021,8088503,6552980,5235256,1802068,2753214,566928,248387,451828,25704010
Dec-2021,8101223,6566092,5261012,1805733,2763015,568628,248125,452670,25771357
Mar-2022,8137688,6604868,5294256,1815442,2777252,570272,249525,455657,25909850
Jun-2022,8166704,6630631,5320941,1821215,2791794,571051,250228,456915,26014399
Sep-2022,8207849,6673455,5351911,1829339,2812658,571688,250737,459582,26162169
Dec-2022,8248249,6717414,5386543,1835948,2834886,572647,251320,461192,26313140
Mar-2023,8301856,6775275,5425856,1846536,2862577,573495,252248,464360,26507157
Jun-2023,8341199,6816241,5460477,1852972,2883762,573738,253062,466359,26652777
Sep-2023,8390356,6866278,5496728,1861198,2909140,574065,253839,468793,26825387
Dec-2023,8422043,6900490,5526677,1866388,2928807,574543,253909,469992,26947832
Mar-2024,8461466,6954450,5559527,1873944,2952007,575466,254384,472592,27108814
Jun-2024,8479314,6978719,5583833,1878011,2965078,575496,255069,473855,27194369
Sep-2024,8511151,7012962,5608666,1882722,2981752,575959,255559,475644,27309396
